Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
BMC Medicine,BMC MED,BMC,1741-7015,1741-7015,"MEDICINE, GENERAL & INTERNAL",SCIE,"26,291",7.1,Q1,1.91,100%
ESMO Open,ESMO OPEN,ELSEVIER,N/A,2059-7029,ONCOLOGY,SCIE,"6,013",7.1,Q1,1.39,82.45%
JOURNAL OF MEDICAL VIROLOGY,J MED VIROL,WILEY,0146-6615,1096-9071,VIROLOGY,SCIE,"23,220",6.8,Q1,1.67,20.96%
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,ELSEVIER SCIENCE INC,1053-2498,1557-3117,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"13,731",6.4,Q1,2.02,12.93%
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,ELSEVIER SCIENCE INC,1053-2498,1557-3117,RESPIRATORY SYSTEM,SCIE,"13,731",6.4,Q1,2.02,12.93%
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,ELSEVIER SCIENCE INC,1053-2498,1557-3117,SURGERY,SCIE,"13,731",6.4,Q1,2.02,12.93%
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,ELSEVIER SCIENCE INC,1053-2498,1557-3117,TRANSPLANTATION,SCIE,"13,731",6.4,Q1,2.02,12.93%
CANCER,CANCER-AM CANCER SOC,WILEY,0008-543X,1097-0142,ONCOLOGY,SCIE,"65,148",6.1,Q1,1.3,19.12%
Frontiers in Immunology,FRONT IMMUNOL,FRONTIERS MEDIA SA,1664-3224,1664-3224,IMMUNOLOGY,SCIE,"190,309",5.7,Q1,0.95,99.65%
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,ELSEVIER IRELAND LTD,0378-8741,1872-7573,"CHEMISTRY, MEDICINAL",SCIE,"52,846",4.8,Q1,1.42,8.87%
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,ELSEVIER IRELAND LTD,0378-8741,1872-7573,INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,"52,846",4.8,Q1,1.42,8.87%
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,ELSEVIER IRELAND LTD,0378-8741,1872-7573,PHARMACOLOGY & PHARMACY,SCIE,"52,846",4.8,Q1,1.42,8.87%
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,ELSEVIER IRELAND LTD,0378-8741,1872-7573,PLANT SCIENCES,SCIE,"52,846",4.8,Q1,1.42,8.87%
Journal of Infection and Public Health,J INFECT PUBLIC HEAL,ELSEVIER SCIENCE LONDON,1876-0341,1876-035X,INFECTIOUS DISEASES,SCIE,"6,685",4.7,Q1,1.32,95.91%
Journal of Infection and Public Health,J INFECT PUBLIC HEAL,ELSEVIER SCIENCE LONDON,1876-0341,1876-035X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"6,685",4.7,Q1,1.32,95.91%
RHEUMATOLOGY,RHEUMATOLOGY,OXFORD UNIV PRESS,1462-0324,1462-0332,RHEUMATOLOGY,SCIE,"28,336",4.7,Q1,1.29,31.03%
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,SPRINGER,0340-7004,1432-0851,IMMUNOLOGY,SCIE,"12,544",4.6,Q2,1.01,37.57%
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,SPRINGER,0340-7004,1432-0851,ONCOLOGY,SCIE,"12,544",4.6,Q1,1.01,37.57%
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,OXFORD UNIV PRESS,1461-1457,1469-5111,CLINICAL NEUROLOGY,SCIE,"6,973",4.5,Q1,1.15,90.91%
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,OXFORD UNIV PRESS,1461-1457,1469-5111,NEUROSCIENCES,SCIE,"6,973",4.5,Q1,1.15,90.91%
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,OXFORD UNIV PRESS,1461-1457,1469-5111,PHARMACOLOGY & PHARMACY,SCIE,"6,973",4.5,Q1,1.15,90.91%
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,OXFORD UNIV PRESS,1461-1457,1469-5111,PSYCHIATRY,SCIE,"6,973",4.5,Q1,1.15,90.91%
LUNG CANCER,LUNG CANCER,ELSEVIER IRELAND LTD,0169-5002,1872-8332,ONCOLOGY,SCIE,"14,576",4.5,Q1,1.12,29.75%
LUNG CANCER,LUNG CANCER,ELSEVIER IRELAND LTD,0169-5002,1872-8332,RESPIRATORY SYSTEM,SCIE,"14,576",4.5,Q1,1.12,29.75%
Targeted Oncology,TARGET ONCOL,SPRINGER,1776-2596,1776-260X,ONCOLOGY,SCIE,"2,162",4.4,Q2,0.85,51.26%
Biomedicines,BIOMEDICINES,MDPI,N/A,2227-9059,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"28,416",3.9,Q2,0.88,99.65%
Biomedicines,BIOMEDICINES,MDPI,N/A,2227-9059,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"28,416",3.9,Q2,0.88,99.65%
Biomedicines,BIOMEDICINES,MDPI,N/A,2227-9059,PHARMACOLOGY & PHARMACY,SCIE,"28,416",3.9,Q1,0.88,99.65%
Viruses-Basel,VIRUSES-BASEL,MDPI,N/A,1999-4915,VIROLOGY,SCIE,"43,854",3.8,Q2,0.79,99.69%
Endocrine Practice,ENDOCR PRACT,ELSEVIER INC,1530-891X,1934-2403,ENDOCRINOLOGY & METABOLISM,SCIE,"5,785",3.7,Q2,0.97,13.27%
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,SPRINGER,0934-9723,1435-4373,INFECTIOUS DISEASES,SCIE,"11,100",3.7,Q2,0.79,35.66%
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,SPRINGER,0934-9723,1435-4373,MICROBIOLOGY,SCIE,"11,100",3.7,Q2,0.79,35.66%
Transplantation and Cellular Therapy,TRANSPL CELL THER,ELSEVIER SCIENCE INC,2666-6375,2666-6367,HEMATOLOGY,SCIE,"2,652",3.6,Q2,0.92,84.49%
Transplantation and Cellular Therapy,TRANSPL CELL THER,ELSEVIER SCIENCE INC,2666-6375,2666-6367,IMMUNOLOGY,SCIE,"2,652",3.6,Q2,0.92,84.49%
Transplantation and Cellular Therapy,TRANSPL CELL THER,ELSEVIER SCIENCE INC,2666-6375,2666-6367,TRANSPLANTATION,SCIE,"2,652",3.6,Q1,0.92,84.49%
Frontiers in Oncology,FRONT ONCOL,FRONTIERS MEDIA SA,2234-943X,2234-943X,ONCOLOGY,SCIE,"81,647",3.5,Q2,0.75,99.56%
ADVANCES IN THERAPY,ADV THER,SPRINGER,0741-238X,1865-8652,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"8,854",3.4,Q2,0.79,69.08%
ADVANCES IN THERAPY,ADV THER,SPRINGER,0741-238X,1865-8652,PHARMACOLOGY & PHARMACY,SCIE,"8,854",3.4,Q2,0.79,69.08%
BMC INFECTIOUS DISEASES,BMC INFECT DIS,BMC,N/A,1471-2334,INFECTIOUS DISEASES,SCIE,"27,788",3.4,Q2,0.74,99.64%
CLINICAL THERAPEUTICS,CLIN THER,ELSEVIER,0149-2918,1879-114X,PHARMACOLOGY & PHARMACY,SCIE,"8,388",3.2,Q2,0.73,25.98%
Frontiers in Medicine,FRONT MED-LAUSANNE,FRONTIERS MEDIA SA,N/A,2296-858X,"MEDICINE, GENERAL & INTERNAL",SCIE,"31,728",3.1,Q1,0.84,99.42%
ASIAN JOURNAL OF ANDROLOGY,ASIAN J ANDROL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1008-682X,1745-7262,ANDROLOGY,SCIE,"4,579",3,Q2,1.13,97.03%
ASIAN JOURNAL OF ANDROLOGY,ASIAN J ANDROL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1008-682X,1745-7262,UROLOGY & NEPHROLOGY,SCIE,"4,579",3,Q1,1.13,97.03%
BREAST CANCER RESEARCH AND TREATMENT,BREAST CANCER RES TR,SPRINGER,0167-6806,1573-7217,ONCOLOGY,SCIE,"22,724",3,Q2,0.73,31.77%
Future Oncology,FUTURE ONCOL,FUTURE MEDICINE LTD,1479-6694,1744-8301,ONCOLOGY,SCIE,"7,746",3,Q2,0.61,45.37%
PLoS One,PLOS ONE,PUBLIC LIBRARY SCIENCE,1932-6203,1932-6203,MULTIDISCIPLINARY SCIENCES,SCIE,"808,083",2.9,Q1,0.88,99.34%
Cancer Medicine,CANCER MED-US,WILEY,2045-7634,2045-7634,ONCOLOGY,SCIE,"18,910",2.9,Q2,0.71,73.56%
Reproductive Medicine and Biology,REPROD MED BIOL,WILEY,1445-5781,1447-0578,OBSTETRICS & GYNECOLOGY,SCIE,"1,603",2.7,Q2,0.91,59.89%
Reproductive Medicine and Biology,REPROD MED BIOL,WILEY,1445-5781,1447-0578,REPRODUCTIVE BIOLOGY,SCIE,"1,603",2.7,Q2,0.91,59.89%
NEUROMUSCULAR DISORDERS,NEUROMUSCULAR DISORD,PERGAMON-ELSEVIER SCIENCE LTD,0960-8966,1873-2364,CLINICAL NEUROLOGY,SCIE,"5,880",2.7,Q2,0.66,21.68%
NEUROMUSCULAR DISORDERS,NEUROMUSCULAR DISORD,PERGAMON-ELSEVIER SCIENCE LTD,0960-8966,1873-2364,NEUROSCIENCES,SCIE,"5,880",2.7,Q3,0.66,21.68%
ACTA ONCOLOGICA,ACTA ONCOL,Medical Journal Sweden AB,0284-186X,1651-226X,ONCOLOGY,SCIE,"8,810",2.7,Q3,0.51,34.24%
NEPHROLOGY,NEPHROLOGY,WILEY,1320-5358,1440-1797,UROLOGY & NEPHROLOGY,SCIE,"3,715",2.4,Q2,0.66,17.98%
Regenerative Medicine,REGEN MED,TAYLOR & FRANCIS LTD,1746-0751,1746-076X,CELL & TISSUE ENGINEERING,SCIE,"2,137",2.4,Q4,0.44,25.41%
Regenerative Medicine,REGEN MED,TAYLOR & FRANCIS LTD,1746-0751,1746-076X,"ENGINEERING, BIOMEDICAL",SCIE,"2,137",2.4,Q3,0.44,25.41%
WORLD JOURNAL OF SURGERY,WORLD J SURG,WILEY,0364-2313,1432-2323,SURGERY,SCIE,"18,560",2.3,Q2,1.07,24.72%
Journal of Health Economics and Outcomes Research,J HEALTH ECON OUTCOM,"COLUMBIA DATA ANALYTICS, LLC",2327-2236,2327-2236,ECONOMICS,ESCI,242,2.3,Q2,0.79,97.83%
Journal of Health Economics and Outcomes Research,J HEALTH ECON OUTCOM,"COLUMBIA DATA ANALYTICS, LLC",2327-2236,2327-2236,HEALTH CARE SCIENCES & SERVICES,ESCI,242,2.3,Q2,0.79,97.83%
Journal of Health Economics and Outcomes Research,J HEALTH ECON OUTCOM,"COLUMBIA DATA ANALYTICS, LLC",2327-2236,2327-2236,HEALTH POLICY & SERVICES,ESCI,242,2.3,Q2,0.79,97.83%
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,1525-5050,1525-5069,BEHAVIORAL SCIENCES,SCIE,"15,027",2.3,Q2,0.74,14.90%
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,1525-5050,1525-5069,CLINICAL NEUROLOGY,SCIE,"15,027",2.3,Q3,0.74,14.90%
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,1525-5050,1525-5069,PSYCHIATRY,SCIE,"15,027",2.3,Q2,0.74,14.90%
Esophagus,ESOPHAGUS-TOKYO,SPRINGER JAPAN KK,1612-9059,1612-9067,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"1,420",2.2,Q3,0.52,17.62%
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,TAYLOR & FRANCIS LTD,1042-8194,1029-2403,HEMATOLOGY,SCIE,"9,455",2.2,Q3,0.4,16.81%
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,TAYLOR & FRANCIS LTD,1042-8194,1029-2403,ONCOLOGY,SCIE,"9,455",2.2,Q3,0.4,16.81%
Journal of Stroke & Cerebrovascular Diseases,J STROKE CEREBROVASC,ELSEVIER,1052-3057,1532-8511,NEUROSCIENCES,SCIE,"10,879",2,Q3,0.54,11.52%
Journal of Stroke & Cerebrovascular Diseases,J STROKE CEREBROVASC,ELSEVIER,1052-3057,1532-8511,PERIPHERAL VASCULAR DISEASE,SCIE,"10,879",2,Q3,0.54,11.52%
Cancer Research Communications,CANCER RES COMMUN,AMER ASSOC CANCER RESEARCH,N/A,2767-9764,ONCOLOGY,ESCI,425,2,Q3,0.5,97.35%
Cerebrovascular Diseases Extra,CEREBROVASC DIS EXTR,KARGER,1664-5456,1664-5456,PERIPHERAL VASCULAR DISEASE,ESCI,423,2,Q3,0.43,98.08%
VOX SANGUINIS,VOX SANG,WILEY,0042-9007,1423-0410,HEMATOLOGY,SCIE,"3,325",1.8,Q3,0.45,17.33%
ANTICANCER RESEARCH,ANTICANCER RES,INT INST ANTICANCER RESEARCH,0250-7005,1791-7530,ONCOLOGY,SCIE,"21,156",1.6,Q4,0.42,18.72%
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,CURR THER RES CLIN E,ELSEVIER SCIENCE INC,0011-393X,1879-0313,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,901,1.6,Q3,0.41,97.87%
THERAPEUTIC APHERESIS AND DIALYSIS,THER APHER DIAL,WILEY,1744-9979,1744-9987,HEMATOLOGY,SCIE,"1,958",1.5,Q3,0.41,12.32%
THERAPEUTIC APHERESIS AND DIALYSIS,THER APHER DIAL,WILEY,1744-9979,1744-9987,UROLOGY & NEPHROLOGY,SCIE,"1,958",1.5,Q3,0.41,12.32%
TRANSFUSION AND APHERESIS SCIENCE,TRANSFUS APHER SCI,PERGAMON-ELSEVIER SCIENCE LTD,1473-0502,1878-1683,HEMATOLOGY,SCIE,"2,594",1.4,Q4,0.37,11.24%
JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,J PEDIATR ENDOCR MET,WALTER DE GRUYTER GMBH,0334-018X,2191-0251,ENDOCRINOLOGY & METABOLISM,SCIE,"3,890",1.3,Q4,0.45,7.58%
JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,J PEDIATR ENDOCR MET,WALTER DE GRUYTER GMBH,0334-018X,2191-0251,PEDIATRICS,SCIE,"3,890",1.3,Q3,0.45,7.58%
MILITARY MEDICINE,MIL MED,OXFORD UNIV PRESS,0026-4075,1930-613X,"MEDICINE, GENERAL & INTERNAL",SCIE,"7,258",1.2,Q2,0.36,55.96%
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,OKAYAMA UNIV MED SCHOOL,0386-300X,0386-300X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,995,0.6,Q4,0.13,0%
